Filename,Width,Height,Test Time (ns),Average Time (ns)
machine.jpg,640,480,36674572,38108416
cube.jpg,1024,1792,224268909,221273800
build.jpg,1326,1920,309478255,310634789
dog.jpg,482,640,36682208,36881516
street.jpg,1920,1280,299038271,298664697
car.jpg,1280,720,110591995,110598848
lake.jpg,1280,855,135394308,132188402
platinum.jpg,2026,2866,699798990,698094427
cat.jpg,1280,853,130479270,131315321
car2.jpg,2560,1440,444640161,443216900
female2.jpg,3840,2160,992013652,994982213
bakery.jpg,3993,2894,1384243586,1384705684
earth.jpg,7680,4320,3938576845,3958628615
mountain.jpg,1792,1024,217008756,217654820
female.jpg,1920,1080,249921453,247845433
cupoi.jpg,5965,3648,2587905327,2587496500
