Image Name,Width x Height,Average Processing Time (ns)
machine.jpg,640x480,3950514
cube.jpg,1024x1792,23629078
build.jpg,1312x1920,32671554
dog.jpg,480x640,3974132
street.jpg,1920x1280,30897379
car.jpg,1280x720,11984065
lake.jpg,1280x848,14151471
platinum.jpg,2016x2864,73144223
cat.jpg,1280x848,13717593
car2.jpg,2560x1440,47761831
female2.jpg,3840x2160,105946992
bakery.jpg,3984x2880,156479849
earth.jpg,7680x4320,454120910
mountain.jpg,1792x1024,23366333
female.jpg,1920x1072,26124993
cupoi.jpg,5952x3648,298863939
